pair,name,base
SG/USDT,SocialGood,SG
SHD/USDT,Shade Protocol,SHD
SHIA/USDT,Shiba Saga,SHIA
SHIB/USDC,Shiba Inu,SHIB
SHIB/USDT,Shiba Inu,SHIB
shibai/USDT,AiShiba,SHIBAI
SHIBDOGE(1M)/USDT,ShibaDoge,SHIBDOGE(1M)
SHIBWIF/USDT,Shibwifhat,SHIBWIF
SHRAP/USDT,Shrapnel,SHRAP
SIDUS/USDT,SIDUS,SIDUS
SILLY/USDT,Silly Dragon,SILLY
SIN/USDT,Sinverse,SIN
SKEY/USDT,Skey Network,SKEY
SLN/USDT,Smart Layer Network,SLN
SLP/USDT,Smooth Love Potion,SLP
SMILEY/USDT,SMILEY,SMILEY
SMURFCAT/USDT,Real Smurf Cat (ETH),SMURFCAT
SNAIL/USDT,SnailBrook,SNAIL
SNEK/USDT,Snek,SNEK
SNS/USDT,Synesis One,SNS
SNX/USDT,Synthetix,SNX
SOC/USDT,socrates,SOC
SOHOT/USDT,SOHOTRN,SOHOT
SOL/USDT,Solana,SOL
SOL/USDC,Solana,SOL
SOLAMA/USDT,Solama,SOLAMA
SOLAR/USDT,Solar,SOLAR
SOLO/USDT,Sologenic,SOLO
SOLS/USDT,sols,SOLS
SORA/USDT,Sora,SORA
SOS/USDT,OpenDAO,SOS
SPACE/USDT,MicroVisionChain,SPACE
SPELL/USDT,Spell Token,SPELL
SPOOL/USDT,Spool,SPOOL
SPURS/USDT,Tottenham Hotspur Fan Token,SPURS
SPXC/USDT,SpaceXCoin,SPXC
SQUIDGROW/USDT,SquidGrow,SQUIDGROW
SRLTY/USDT,SaitaRealty,SRLTY
SRM/USDT,Serum,SRM
SRX/USDT,StorX Network,SRX
SSE/USDT,Soroosh Smart Ecosystem,SSE
SSV/USDT,ssv.network,SSV
SSWP/USDT,Suiswap,SSWP
STARL/USDT,Starlink,STARL
STORJ/USDT,Storj,STORJ
STPT/USDT,STP,STPT
STRK/USDT,Starknet,STRK
STSW/USDT,Stackswap,STSW
STX/USDT,Stacks,STX
SUDO/USDT,sudoswap,SUDO
SUI/USDT,Sui,SUI
SUPER/USDT,SuperVerse,SUPER
SUSHI/USDT,SushiSwap,SUSHI
SWCH/USDT,SwissCheese,SWCH
SWEAT/USDT,Sweat Economy,SWEAT
SWU/USDT,Smart World Union,SWU
SX/USDT,SX Network,SX
SXP/USDT,Solar,SXP
SYN/USDT,Synapse,SYN
SYNC/USDT,Syncus,SYNC
T/USDT,Threshold,T
TAMA/USDT,Tamadoge,TAMA
TAO/USDT,Bittensor,TAO
TARAL/USDT,TARALITY,TARAL
TBC/USDT,Ten Best Coins,TBC
TET/USDT,Tectum,TET
TFUEL/USDT,Theta Fuel,TFUEL
THETA/USDT,Theta Network,THETA
THG/USDT,Thetan Arena,THG
TIA/USDT,Celestia,TIA
TIP/USDT,Tipcoin,TIP
TITANX/USDT,TitanX,TITANX
TLC/USDT,Trillioner,TLC
TLM/USDT,Alien Worlds,TLM
TOKA/USDT,Tonka Finance,TOKA
TOKEN/USDT,TokenFi,TOKEN
TOMI/USDT,tomiNet,TOMI
TON/USDT,Toncoin,TON
TRAC/BTC,OriginTrail,TRAC
TRAVA/USDT,TRAVA.FINANCE,TRAVA
TRAXX/USDT,Traxx,TRAXX
TRB/USDT,Tellor,TRB
TRC/USDT,MetaTrace,TRC
TRI/USDT,Trice,TRI
TROLL/USDT,Troll (NEW),TROLL
